image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,30,100,8,1,0.0,0,NaN,0.0,false
scatter,30,100,8,1,0.0,1,NaN,0.0,false
scatter,30,100,8,1,0.0,2,NaN,0.0,false
scatter,30,100,8,1,0.0,3,NaN,0.0,false
scatter,30,100,8,1,0.0,4,24.87775,3.777712815715622,true
scatter,30,100,8,1,0.5,0,NaN,0.0,false
scatter,30,100,8,1,0.5,1,NaN,0.0,false
scatter,30,100,8,1,0.5,2,NaN,0.0,false
scatter,30,100,8,1,0.5,3,NaN,0.0,false
scatter,30,100,8,1,0.5,4,37.822208,2.152938824470212,true
scatter,30,100,8,1,1.0,0,NaN,0.0,false
scatter,30,100,8,1,1.0,1,NaN,0.0,false
scatter,30,100,8,1,1.0,2,NaN,0.0,false
scatter,30,100,8,1,1.0,3,NaN,0.0,false
scatter,30,100,8,1,1.0,4,37.894333,2.0655328943162203,true
scatter,30,100,8,4,0.0,0,NaN,0.0,false
scatter,30,100,8,4,0.0,1,NaN,0.0,false
scatter,30,100,8,4,0.0,2,NaN,0.0,false
scatter,30,100,8,4,0.0,3,NaN,0.0,false
scatter,30,100,8,4,0.0,4,23.938125,3.7741822429906544,true
scatter,30,100,8,4,0.5,0,NaN,0.0,false
scatter,30,100,8,4,0.5,1,NaN,0.0,false
scatter,30,100,8,4,0.5,2,NaN,0.0,false
scatter,30,100,8,4,0.5,3,NaN,0.0,false
scatter,30,100,8,4,0.5,4,33.458584,2.152795362164323,true
scatter,30,100,8,4,1.0,0,NaN,0.0,false
scatter,30,100,8,4,1.0,1,NaN,0.0,false
scatter,30,100,8,4,1.0,2,NaN,0.0,false
scatter,30,100,8,4,1.0,3,NaN,0.0,false
scatter,30,100,8,4,1.0,4,34.582667,2.0654008438818567,true
scatter,30,100,8,6,0.0,0,NaN,0.0,false
scatter,30,100,8,6,0.0,1,NaN,0.0,false
scatter,30,100,8,6,0.0,2,NaN,0.0,false
scatter,30,100,8,6,0.0,3,NaN,0.0,false
scatter,30,100,8,6,0.0,4,23.230500000000003,3.769338466923346,true
scatter,30,100,8,6,0.5,0,NaN,0.0,false
scatter,30,100,8,6,0.5,1,NaN,0.0,false
scatter,30,100,8,6,0.5,2,NaN,0.0,false
scatter,30,100,8,6,0.5,3,NaN,0.0,false
scatter,30,100,8,6,0.5,4,32.986459,2.193279022403259,true
scatter,30,100,8,6,1.0,0,NaN,0.0,false
scatter,30,100,8,6,1.0,1,NaN,0.0,false
scatter,30,100,8,6,1.0,2,NaN,0.0,false
scatter,30,100,8,6,1.0,3,NaN,0.0,false
scatter,30,100,8,6,1.0,4,33.253583000000006,2.100175518429435,true
scatter,30,100,8,8,0.0,0,NaN,0.0,false
scatter,30,100,8,8,0.0,1,NaN,0.0,false
scatter,30,100,8,8,0.0,2,15.860624999999999,3.8178917513590167,true
scatter,30,100,8,8,0.0,3,NaN,0.0,false
scatter,30,100,8,8,0.0,4,NaN,0.0,false
scatter,30,100,8,8,0.5,0,NaN,0.0,false
scatter,30,100,8,8,0.5,1,NaN,0.0,false
scatter,30,100,8,8,0.5,2,18.62875,3.0,true
scatter,30,100,8,8,0.5,3,NaN,0.0,false
scatter,30,100,8,8,0.5,4,NaN,0.0,false
scatter,30,100,8,8,1.0,0,NaN,0.0,false
scatter,30,100,8,8,1.0,1,NaN,0.0,false
scatter,30,100,8,8,1.0,2,19.536084,2.461860854987427,true
scatter,30,100,8,8,1.0,3,NaN,0.0,false
scatter,30,100,8,8,1.0,4,NaN,0.0,false
scatter,30,100,8,10,0.0,0,NaN,0.0,false
scatter,30,100,8,10,0.0,1,NaN,0.0,false
scatter,30,100,8,10,0.0,2,15.357625,3.8178917513590167,true
scatter,30,100,8,10,0.0,3,NaN,0.0,false
scatter,30,100,8,10,0.0,4,NaN,0.0,false
scatter,30,100,8,10,0.5,0,NaN,0.0,false
scatter,30,100,8,10,0.5,1,NaN,0.0,false
scatter,30,100,8,10,0.5,2,19.950542000000002,3.0,true
scatter,30,100,8,10,0.5,3,NaN,0.0,false
scatter,30,100,8,10,0.5,4,NaN,0.0,false
scatter,30,100,8,10,1.0,0,NaN,0.0,false
scatter,30,100,8,10,1.0,1,NaN,0.0,false
scatter,30,100,8,10,1.0,2,21.274375000000003,2.461860854987427,true
scatter,30,100,8,10,1.0,3,NaN,0.0,false
scatter,30,100,8,10,1.0,4,NaN,0.0,false
scatter,30,100,32,1,0.0,0,25.891625,2.8933369156367545,true
scatter,30,100,32,1,0.0,1,25.828,2.9144790257104196,true
scatter,30,100,32,1,0.0,2,24.862624999999998,2.926623788386629,true
scatter,30,100,32,1,0.0,3,25.679625,2.9359323882224646,true
scatter,30,100,32,1,0.0,4,24.289667,3.1187373298580945,true
scatter,30,100,32,1,0.5,0,39.289667,2.347039593171086,true
scatter,30,100,32,1,0.5,1,37.675459000000004,2.380590966030506,true
scatter,30,100,32,1,0.5,2,38.527875,2.5338823529411765,true
scatter,30,100,32,1,0.5,3,51.190958,2.0408717624763106,true
scatter,30,100,32,1,0.5,4,37.008667,1.604200804409355,true
scatter,30,100,32,1,1.0,0,39.284875,2.271940928270042,true
scatter,30,100,32,1,1.0,1,38.905167,2.128260869565217,true
scatter,30,100,32,1,1.0,2,38.161415999999996,2.196858425132599,true
scatter,30,100,32,1,1.0,3,51.057958,1.8786416235389893,true
scatter,30,100,32,1,1.0,4,38.67975,1.5597450876261285,true
scatter,30,100,32,4,0.0,0,24.26125,2.895151895331123,true
scatter,30,100,32,4,0.0,1,24.137542,2.918691842081489,true
scatter,30,100,32,4,0.0,2,23.929958000000003,2.9255637055148056,true
scatter,30,100,32,4,0.0,3,23.740083,2.9434220116618075,true
scatter,30,100,32,4,0.0,4,28.509957999999997,3.1139277108433734,true
scatter,30,100,32,4,0.5,0,34.926791,2.3506257275902214,true
scatter,30,100,32,4,0.5,1,35.927167000000004,2.3825221238938052,true
scatter,30,100,32,4,0.5,2,33.439541000000006,2.531301418161874,true
scatter,30,100,32,4,0.5,3,39.82575,2.0424200278164117,true
scatter,30,100,32,4,0.5,4,33.255041999999996,1.5982487384980706,true
scatter,30,100,32,4,1.0,0,33.927209,2.2833415789101705,true
scatter,30,100,32,4,1.0,1,34.082,2.2995942771727527,true
scatter,30,100,32,4,1.0,2,33.79775,2.1982037150438867,true
scatter,30,100,32,4,1.0,3,40.332833,1.884339457567804,true
scatter,30,100,32,4,1.0,4,33.720416,1.549199194399156,true
scatter,30,100,32,6,0.0,0,24.132625,2.890748031496063,true
scatter,30,100,32,6,0.0,1,23.472042,2.926358695652174,true
scatter,30,100,32,6,0.0,2,23.633291,2.929542981501632,true
scatter,30,100,32,6,0.0,3,23.323458,2.937267024274934,true
scatter,30,100,32,6,0.0,4,23.715916,3.112127926018688,true
scatter,30,100,32,6,0.5,0,34.848875,2.3424448955916475,true
scatter,30,100,32,6,0.5,1,33.884040999999996,2.3812928429276923,true
scatter,30,100,32,6,0.5,2,33.716917,2.5400581806745812,true
scatter,30,100,32,6,0.5,3,41.742042,2.0411296436694464,true
scatter,30,100,32,6,0.5,4,35.148167,1.597774480712166,true
scatter,30,100,32,6,1.0,0,34.251459,2.2746602830387945,true
scatter,30,100,32,6,1.0,1,33.481417,2.301888136800855,true
scatter,30,100,32,6,1.0,2,34.722625,2.2051054535526586,true
scatter,30,100,32,6,1.0,3,40.348042,1.8754789272030652,true
scatter,30,100,32,6,1.0,4,34.103750000000005,1.548530892009778,true
scatter,30,100,32,8,0.0,0,16.7,2.921859455548521,true
scatter,30,100,32,8,0.0,1,16.008000000000003,2.918691842081489,true
scatter,30,100,32,8,0.0,2,16.373459,2.9279499728113105,true
scatter,30,100,32,8,0.0,3,16.347542,2.94771897810219,true
